"Reference","Value","Footprint","Datasheet","Beschreibung","Qty","DNP","Exclude from BOM","Exclude from Board"
"F102","SMD2920B500TF","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder","https://www.littelfuse.com/assetdocs/littelfuse-ptc-microsmd-datasheet?assetguid=9831a125-bc6a-4727-872e-aa92d8395030","","1","","",""
"FB101,FB102","FerriteBead5650","My_Foots:HI2220P701R-10","https://www.laird.com/sites/default/files/hi2220p701r-10-datasheet.pdf","","2","","",""
"HS101,HS102","Heatsink_Pad","","~","Heatsink with electrical connection, 1 pin","2","","","Excluded from board"
"IC101,IC102","RT1985N-A","RT1985NA","https://www.richtek.com/assets/product_file/RT1985/RT1985_DS-00.pdf","Hot Swap Voltage Controllers 23V/8A Ideal Diode Protection Switch","2","","",""
"J101","USB_B","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","https://gct.co/files/specs/usb1030-spec.pdf","","1","","",""
"J102,J104,J402,J403","Conn_01x10","My_Foots:JST_PH_S10B-PH-K_1x10_P2.00mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","4","","",""
"J103","Barrel_Jack","My_Foots:power conn","https://www.sameskydevices.com/product/resource/pj-039bh.pdf","","1","","",""
"J105,J106,J201,J301","Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","4","","",""
"J303","Conn_01x09_Socket","Connector_PinSocket_2.00mm:PinSocket_1x09_P2.00mm_Vertical","~","Generic connector, single row, 01x09, script generated","1","","",""
"J401","Conn_01x10","Connector_JST:JST_PH_S10B-PH-K_1x10_P2.00mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","1","DNP","","Excluded from board"
"J601,J602,J603,J604,J605","Conn_01x04_Socket","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","Generic connector, single row, 01x04, script generated","5","","",""
"JP101,JP102,JP103,JP104,JP105,JP108,JP301,JP302,JP303,JP402,JP403,JP404,JP405,JP407,JP409,JP411,JP413","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","","17","","",""
"JP106,JP107,JP201,JP202,JP203,JP401,JP406,JP408,JP410,JP412,JP414,JP415","Jumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~","","12","","",""
"L101","744231091","My_Foots:WE-CNSW_0805","https://www.we-online.com/components/products/datasheet/744231091.pdf","","1","","",""
"M101","Motor_DC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5564/JYC1234.pdf","","1","","",""
"Q101,Q102","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","2","","",""
"R101,R102,R103,R104,R105,R106,R107,R108,R111,R112,R113,R114,R115,R116,R117,R118,R119,R201,R202,R203,R204,R205,R206,R301,R302,R303,R304,R305,R306,R401,R402,R403,R404,R405,R406,R407,R408,R409,R410,R411,R412,R413,R414,R415,R416,R417,R418,R419,R420,R421,R422,R423,R424,R425,R426,R427,R428,R429,R430","10k","Resistor_SMD:R_0805_2012Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","RMCP0805JT10K0","59","","",""
"R109,R110","100","Resistor_SMD:R_0805_2012Metric","~https://www.te.com/usa-en/product-9-1879508-7.datasheet.pdf","","2","","",""
"Sc/NavWheel301","~","My_Foots:navscroll wheel_dummy","https://www.digikey.de/de/products/detail/adafruit-industries-llc/5001/15277532","","1","DNP","",""
"SW101,SW102,SW103,SW104,SW105,SW106,SW107,SW108,SW109,SW110,SW111,SW112,SW113,SW114,SW115,SW116,SW201,SW202,SW203,SW204,SW205,SW206,SW207,SW208,SW209,SW210,SW211,SW212,SW213,SW214,SW215,SW216,SW301,SW302,SW303,SW304,SW305,SW306,SW307,SW308","SW_Push","My_Foots:button rubber","https://www.digikey.de/de/products/detail/adafruit-industries-llc/1611/5823361","","40","","",""
"SW117","SW_Push_DPDT","My_Foots:MFP 226 Switch","www.digikey.de/de/products/detail/knitter-switch/MFP-226-P-PC/26485776","","1","","",""
"TP3V1,TP5V1,TP101,TP102,TP103,TP104,TP105,TP113,TP119,TP120,TP121,TP122,TP123,TP124,TP125,TP134,TP135,TPD_in1,TPD_in745,TPD_in746,TP_Dout1,TP_SCL1,TP_SDA1","TestPoint_Small","TestPoint:TestPoint_Pad_D1.0mm","~","","23","","",""
"TP92,TP93,TP94,TP95,TP126,TP127,TP128,TP129,TP130,TP131,TP132,TP133,TP401,TP402,TP403,TP404,TP405,TP406,TP407,TP408","TestPoint_Small","TestPoint:TestPoint_Pad_D1.0mm","~","","20","DNP","","Excluded from board"
"TP106,TP107,TP108,TP109,TP110,TP111,TP112,TP114,TP115,TP116,TP117,TP118","TestPoint_Small","TestPoint:TestPoint_Pad_1.0x1.0mm","~","","12","DNP","","Excluded from board"
"TP301","TestPoint_Small","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~","test point","1","","",""
"U101","TPD2EUSB30ADRTR","Package_TO_SOT_SMD:Texas_DRT-3","http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf","","1","","",""
"U102,U107","NJM2884","Package_TO_SOT_SMD:TO-252-5_TabPin3","www.nisshinbo-microdevices.co.jp/en/pdf/datasheet/NJM2884_2884A_E.pdf","","2","","",""
"U103","Teensy4.1","My_Foots:Teensy41","https://www.pjrc.com/","","1","","",""
"U104","74HCT2G34GW_125","My_Foots:SC-88_SOT363_NEX","https://assets.nexperia.com/documents/data-sheet/74HC_HCT2G34.pdf","","1","","",""
"U105","CR2013-MI2120","Display:CR2013-MI2120","http://pan.baidu.com/s/11Y990","ILI9341 controller, SPI TFT LCD Display, 9-pin breakout PCB, 4-pin SD card interface, 5V/3.3V","1","DNP","","Excluded from board"
"U106","DRV2605LDGS","Package_SO:VSSOP-10_3x3mm_P0.5mm","http://www.ti.com/lit/ds/symlink/drv2605l.pdf","","1","","",""
"U108,U201,U301,U401,U402,U403,U404,U405","MCP23017_SS","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","","8","","",""
